Start Point,End Point,Spoofed Point,Basic Route Length,Spoofed Route Length,Overlapping Route Length,Overlap Percentage
"(-0.13961831942729408, 51.51796162856096)","(-0.14580816263511495, 51.52759536355579)","(-0.1385639862363378, 51.51921850120379)",1521.5300000000002,1334.3390000000002,1334.3390000000002,87.69718638475746
"(-0.144787164641674, 51.52786091674651)","(-0.1445548583922996, 51.516604579483634)","(-0.1450442662910355, 51.52902946160014)",1578.807,1673.6430000000003,1578.807,100.0
"(-0.12287487427674078, 51.51720306510439)","(-0.13618713906037536, 51.51985858477929)","(-0.12374382818274872, 51.51701187852947)",1724.7459999999999,1646.377,1646.377,95.45620050720512
"(-0.13646164493901802, 51.51588238457576)","(-0.1402615316278591, 51.518646005612034)","(-0.13814518856776697, 51.51725019972387)",649.777,839.134,649.777,100.0
"(-0.13319583671220248, 51.53217055327557)","(-0.14546434146179962, 51.532102623409465)","(-0.13255489680359184, 51.53315563852023)",1805.2730000000001,1709.201,1709.201,94.67825641883526
"(-0.1375196257066777, 51.525010118850595)","(-0.14111638353351372, 51.522749931734324)","(-0.1392024482283263, 51.52547014599937)",776.8470000000001,809.0290000000001,738.9820000000001,95.12580984415206
"(-0.1416073566274395, 51.52954363767302)","(-0.1393347587527305, 51.53255024967746)","(-0.14083860651147034, 51.5297555183229)",587.27,499.06999999999994,499.06999999999994,84.98135440257461
"(-0.12030634590413454, 51.51745115418934)","(-0.12443131517912343, 51.51629617527451)","(-0.11886035889612025, 51.51680763644833)",332.675,510.53599999999994,221.921,66.70804839558127
"(-0.12251236735444321, 51.53048911684872)","(-0.13862622952530865, 51.52678910924697)","(-0.12373993332551712, 51.53105181703517)",1445.345,1745.9299999999998,1445.345,100.0
"(-0.13989883164915073, 51.52031108761606)","(-0.14579019158844478, 51.52088858244759)","(-0.141054312579963, 51.51928762555223)",487.717,528.456,389.207,79.80181129630502
"(-0.1381856056833082, 51.52513219461428)","(-0.13871925324486017, 51.52647132369073)","(-0.1385977688739044, 51.52489041321523)",151.78199999999998,172.59199999999998,151.78199999999998,100.0
"(-0.13492285328981377, 51.53151611993293)","(-0.13621987177941083, 51.525766476646204)","(-0.13541655937485955, 51.53309765215735)",1397.184,1310.833,1230.757,88.08839780587239
"(-0.12284127954781933, 51.529109076649085)","(-0.14654702422027688, 51.51804160159669)","(-0.12130979524026403, 51.5292446947352)",2593.1409999999996,2826.5519999999997,2446.991,94.36397789399035
"(-0.1270344081063576, 51.517078807427886)","(-0.1380306033525167, 51.52242612889833)","(-0.12862960528625186, 51.515763098610016)",1380.767,1592.4209999999998,1269.02,91.90688943174337
"(-0.1452842782913934, 51.520976015854)","(-0.13561439634670044, 51.52692514918687)","(-0.14370337933022959, 51.520248190653554)",1252.478,1260.8860000000002,1158.978,92.53479901443379
"(-0.13174865540629743, 51.52639999995295)","(-0.12610779084160575, 51.5230953982727)","(-0.1333123006218399, 51.527474057011965)",650.079,859.872,650.079,100.0
"(-0.14686619469409953, 51.52057859058823)","(-0.12184003982356638, 51.52772722766476)","(-0.1466634703832442, 51.519159303986584)",3037.4719999999993,3516.041999999999,2931.9589999999994,96.52628896661435
"(-0.14014938340338876, 51.519306575804755)","(-0.1415395846249221, 51.517418796071055)","(-0.13871853927388952, 51.52000868941094)",652.3770000000001,637.725,482.432,73.94987867444743
"(-0.13273709179196352, 51.51773333202515)","(-0.14026588894071218, 51.52715472390364)","(-0.13149460708643856, 51.51768395101404)",1385.037,1754.536,472.432,34.10970248448236
"(-0.14178089593445226, 51.51960027679434)","(-0.14371744767877903, 51.52070373493596)","(-0.14086198967192765, 51.520166443067424)",365.944,233.917,180.007,49.18976674026627
"(-0.14365699729655568, 51.522153695203215)","(-0.12745665238774997, 51.52792385108272)","(-0.14395366285969804, 51.52053749870148)",1997.131,1909.5050000000003,1448.873,72.54771970391528
"(-0.13933649151562474, 51.53254593875524)","(-0.13929179995814653, 51.53259221042694)","(-0.1376137795201201, 51.53168656508804)",8.254,563.183,0,0.0
"(-0.13691991393119507, 51.51889500131603)","(-0.14435182870998792, 51.52891917245902)","(-0.13585415396969266, 51.519341006651544)",1749.971,1649.049,1118.8360000000002,63.93454520103477
